method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,4.5405e-25,5.0,5,1.0,2.440336397411464e-12,8.586359875906897e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.6262546864709293e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.57185e-25,5.0,5,1.0,2.0879813718544213e-12,5.624172363824761e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.5409895581797173e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.3019399999999997e-25,5.0,5,1.0,1.676094536771416e-12,3.958936479026245e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.1284306822290091e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.4075699999999999e-25,5.0,5,1.0,1.3856691298403146e-12,2.577684542205719e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-8.759659664292485e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,9.184130000000001e-26,5.0,5,1.0,1.0975797351477933e-12,1.7367664171898468e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-7.314149286230531e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,7.224470000000001e-26,5.0,5,1.0,9.392464068894486e-13,1.1380024810627608e-24,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-6.930012119710227e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.6554e-26,5.0,5,1.0,7.537750929722158e-13,8.007292876752732e-25,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.075939668586216e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.84661e-26,5.0,5,1.0,6.230732922180175e-13,5.211909129896048e-25,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.9390712913700554e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.8582e-26,5.0,5,1.0,4.936606678995759e-13,3.513058214441731e-25,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.290701044988964e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.46117e-26,5.0,5,1.0,4.22346105337506e-13,2.3008264097697777e-25,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.1175062531474396e-13, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
